ligandID,SMILES,maxring,numring,PDBs,PDBs_num
7FK,CN1CCC=CCCCCCCC(=O)Cc2c(c(cc(c2Cl)O)O)C1=O,16,2,4ce1,1
7FM,CS(=O)(=O)N1CCCCC(=O)N2CCc3c2ccc(c3)Nc4ncc(c(n4)NCc5c1nccc5)C(F)(F)F,19,6,5to8,1
7HG,CC1C(C=CC=CCCOC(=O)C2CCCN(N2)C(=O)C(NC(=O)C(NC(=O)C(C1OC)C)C(C)C)Cc3cccc(c3)O)OC,22,3,5t9u,1
7KQ,CN1Cc2cc(ccc2S(=O)(=O)C3CC3)NC(=O)OCCc4cccc(c4)C(C1=O)Nc5ccc6c(c5)ccnc6N,15,6,5tqe,1
7KR,CN1Cc2cc(ccc2S(=O)(=O)C3CC3)NC(=O)CCc4cccc(c4)C(C1=O)Nc5ccc6c(c5)ccnc6N,14,6,5tqf,1
7KS,CC1CC(=O)Nc2ccc(c(c2)CN(C(=O)C(c3ccc(c1c3)OCC(F)F)Nc4ccc5c(c4)c(cnc5N)F)C)S(=O)(=O)C6CC6,14,6,5tqg,1
7LT,CN1CCCNC(CC(=O)NC2CCc3ccccc3N(C2=O)CC(=O)NC(CC1=O)Cc4ccc(c(c4)CCc5ccccc5)Cl)Cc6ccc(cc6)Cl,18,6,5mes,1
7LW,CN1CCCNC(CC(=O)NC2CCc3ccccc3N(C2=O)CC(=O)NC(CC1=O)Cc4ccc(c(c4)Cl)Cl)Cc5ccc(cc5)S(=O)(=O)C,18,5,5mev,1
7LZ,CC1CCC(C(C(OC(=O)C=CC=CC(C(CC(C=CC(C(C(C1)C)O)C)O)O)C)C(C)C=CC=C)C)O,22,1,5mf4,1
7YS,Cc1c-2c(n(n1)CCO)CN(C(=O)c3ccc(c(c3C(Oc4c(ncc2n4)N)C)Cl)F)C,12,4,5u6b 5u6c,2
814,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=C(C(=O)C(=C(C1)C2=O)OC)c3ccccc3)C)OC)OC(=O)N)C)C)O)OC,19,3,4asg,1
818,CCC1C=C(C(C(CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC1=O)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC)C)O)C,21,4,6yf0 1fkd,2
82J,CCc1cc2ccc1CCOC(=O)Nc3ccc(c(c3)CN(C(=O)C2Nc4cccc(c4)C(=O)N)C)S(=O)(=O)C(C)C,16,5,5u6j,1
